"TOA5","CR300Series_NRCS_B3","CR300","25039","CR300-CELL205.Std.10.07","CPU:nrcs_marena_B3.CR300","30482","Table_Batt"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Batt_Min","PTemp"
"TS","RN","name","decdegrees","decdegrees","m","Volt","Deg C"
"","","Smp","Smp","Smp","Smp","Min","Smp"
"2022-12-09 17:00:00",0,"Marena B3",36.06222,-97.21667,329,10.67,23.94
"2022-12-09 18:00:00",1,"Marena B3",36.06222,-97.21667,329,11.2,23.13
"2022-12-09 19:00:00",2,"Marena B3",36.06222,-97.21667,329,11.2,23.12
"2022-12-09 20:00:00",3,"Marena B3",36.06222,-97.21667,329,11.2,23.1
"2022-12-09 21:00:00",4,"Marena B3",36.06222,-97.21667,329,11.19,23.04
"2022-12-09 22:00:00",5,"Marena B3",36.06222,-97.21667,329,11.19,23.03
"2022-12-09 23:00:00",6,"Marena B3",36.06222,-97.21667,329,11.18,23.04
"2022-12-10 00:00:00",7,"Marena B3",36.06222,-97.21667,329,11.18,23.02
"2022-12-10 01:00:00",8,"Marena B3",36.06222,-97.21667,329,11.17,23.01
"2022-12-10 02:00:00",9,"Marena B3",36.06222,-97.21667,329,11.17,23.01
"2022-12-10 03:00:00",10,"Marena B3",36.06222,-97.21667,329,11.15,22.99
"2022-12-10 04:00:00",11,"Marena B3",36.06222,-97.21667,329,11.15,23.01
"2022-12-10 05:00:00",12,"Marena B3",36.06222,-97.21667,329,11.14,23
"2022-12-10 06:00:00",13,"Marena B3",36.06222,-97.21667,329,11.14,22.98
"2022-12-10 07:00:00",14,"Marena B3",36.06222,-97.21667,329,11.13,23
"2022-12-10 08:00:00",15,"Marena B3",36.06222,-97.21667,329,11.13,22.98
"2022-12-10 09:00:00",16,"Marena B3",36.06222,-97.21667,329,11.13,22.96
"2022-12-10 10:00:00",17,"Marena B3",36.06222,-97.21667,329,11.13,22.95
"2022-12-10 11:00:00",18,"Marena B3",36.06222,-97.21667,329,11.11,22.93
"2022-12-10 12:00:00",19,"Marena B3",36.06222,-97.21667,329,11.11,22.92
"2022-12-10 13:00:00",20,"Marena B3",36.06222,-97.21667,329,10.94,22.88
"2022-12-10 14:00:00",21,"Marena B3",36.06222,-97.21667,329,10.49,24.72
"2022-12-10 16:00:00",22,"Marena B3",36.06222,-97.21667,329,10.99,22.99
"2022-12-10 17:00:00",23,"Marena B3",36.06222,-97.21667,329,11,22.88
"2022-12-10 18:00:00",24,"Marena B3",36.06222,-97.21667,329,11,22.89
"2022-12-10 19:00:00",25,"Marena B3",36.06222,-97.21667,329,10.99,22.95
"2022-12-10 20:00:00",26,"Marena B3",36.06222,-97.21667,329,10.98,22.93
"2022-12-10 21:00:00",27,"Marena B3",36.06222,-97.21667,329,10.98,22.93
"2022-12-10 22:00:00",28,"Marena B3",36.06222,-97.21667,329,10.97,22.99
"2022-12-10 23:00:00",29,"Marena B3",36.06222,-97.21667,329,10.97,22.96
"2022-12-11 00:00:00",30,"Marena B3",36.06222,-97.21667,329,10.94,23.01
"2022-12-11 01:00:00",31,"Marena B3",36.06222,-97.21667,329,10.93,23.01
"2022-12-11 02:00:00",32,"Marena B3",36.06222,-97.21667,329,10.93,23.03
"2022-12-11 03:00:00",33,"Marena B3",36.06222,-97.21667,329,10.92,23
"2022-12-11 04:00:00",34,"Marena B3",36.06222,-97.21667,329,10.92,22.97
"2022-12-11 05:00:00",35,"Marena B3",36.06222,-97.21667,329,10.91,22.98
"2022-12-11 06:00:00",36,"Marena B3",36.06222,-97.21667,329,10.91,22.96
"2022-12-11 07:00:00",37,"Marena B3",36.06222,-97.21667,329,10.91,22.97
"2022-12-11 08:00:00",38,"Marena B3",36.06222,-97.21667,329,10.91,22.98
"2022-12-11 09:00:00",39,"Marena B3",36.06222,-97.21667,329,10.9,22.97
"2022-12-11 10:00:00",40,"Marena B3",36.06222,-97.21667,329,10.87,22.99
"2022-12-11 11:00:00",41,"Marena B3",36.06222,-97.21667,329,10.87,22.96
"2022-12-11 12:00:00",42,"Marena B3",36.06222,-97.21667,329,10.86,22.95
"2022-12-12 08:00:00",43,"Marena B3",36.06222,-97.21667,329,13.3,23.55
"2022-12-12 09:00:00",44,"Marena B3",36.06222,-97.21667,329,12.22,23.75
"2022-12-12 10:00:00",45,"Marena B3",36.06222,-97.21667,329,12.32,26.14
"2022-12-12 11:00:00",46,"Marena B3",36.06222,-97.21667,329,12.45,25.21
"2022-12-12 12:00:00",47,"Marena B3",36.06222,-97.21667,329,12.8,25.1
"2022-12-12 13:00:00",48,"Marena B3",36.06222,-97.21667,329,12.82,25.17
"2022-12-12 14:00:00",49,"Marena B3",36.06222,-97.21667,329,13.06,25.28
"2022-12-12 15:00:00",50,"Marena B3",36.06222,-97.21667,329,12.46,25.16
"2022-12-12 16:00:00",51,"Marena B3",36.06222,-97.21667,329,12.42,25.15
"2022-12-12 17:00:00",52,"Marena B3",36.06222,-97.21667,329,12.4,25.15
"2022-12-12 18:00:00",53,"Marena B3",36.06222,-97.21667,329,12.39,23.34
"2022-12-12 19:00:00",54,"Marena B3",36.06222,-97.21667,329,12.39,23.07
"2022-12-12 20:00:00",55,"Marena B3",36.06222,-97.21667,329,12.38,23.04
"2022-12-12 21:00:00",56,"Marena B3",36.06222,-97.21667,329,12.38,22.96
"2022-12-12 22:00:00",57,"Marena B3",36.06222,-97.21667,329,12.37,22.94
"2022-12-12 23:00:00",58,"Marena B3",36.06222,-97.21667,329,12.37,22.9
"2022-12-13 00:00:00",59,"Marena B3",36.06222,-97.21667,329,12.36,22.89
"2022-12-13 01:00:00",60,"Marena B3",36.06222,-97.21667,329,12.36,22.89
"2022-12-13 02:00:00",61,"Marena B3",36.06222,-97.21667,329,12.35,22.87
"2022-12-13 03:00:00",62,"Marena B3",36.06222,-97.21667,329,12.35,22.86
"2022-12-13 04:00:00",63,"Marena B3",36.06222,-97.21667,329,12.34,22.89
"2022-12-13 05:00:00",64,"Marena B3",36.06222,-97.21667,329,12.34,22.88
"2022-12-13 06:00:00",65,"Marena B3",36.06222,-97.21667,329,12.34,22.81
"2022-12-13 07:00:00",66,"Marena B3",36.06222,-97.21667,329,12.33,22.9
"2022-12-13 08:00:00",67,"Marena B3",36.06222,-97.21667,329,12.33,22.97
"2022-12-13 09:00:00",68,"Marena B3",36.06222,-97.21667,329,12.33,23.02
"2022-12-13 10:00:00",69,"Marena B3",36.06222,-97.21667,329,12.27,24.94
"2022-12-13 11:00:00",70,"Marena B3",36.06222,-97.21667,329,12.29,24.86
"2022-12-13 12:00:00",71,"Marena B3",36.06222,-97.21667,329,12.29,24.81
"2022-12-13 13:00:00",72,"Marena B3",36.06222,-97.21667,329,12.28,25
"2022-12-13 14:00:00",73,"Marena B3",36.06222,-97.21667,329,12.27,24.77
"2022-12-13 15:00:00",74,"Marena B3",36.06222,-97.21667,329,12.26,24.73
"2022-12-13 16:00:00",75,"Marena B3",36.06222,-97.21667,329,12.26,24.69
"2022-12-13 17:00:00",76,"Marena B3",36.06222,-97.21667,329,12.25,24.69
"2022-12-13 18:00:00",77,"Marena B3",36.06222,-97.21667,329,12.25,23.11
