"TOA5","1","CR300","1438","CR300.Std.07.00","CPU:Site 1 (Field).CR300","25977","TDR315"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","BattV","TDR315N_5_VWC_Avg","TDR315N_10_VWC_Avg","TDR315N_20_VWC_Avg","TDR315N_50_VWC_Avg","TDR315N_5_T_Avg","TDR315N_10_T_Avg","TDR315N_20_T_Avg","TDR315N_50_T_Avg","TDR315N_5_EC_Avg","TDR315N_10_EC_Avg","TDR315N_20_EC_Avg","TDR315N_50_EC_Avg","TDR315N_5_Perm_Avg","TDR315N_10_Perm_Avg","TDR315N_20_Perm_Avg","TDR315N_50_Perm_Avg"
"TS","RN","name","decdegrees","decdegrees","m","Volts","%","%","%","%","Deg C","Deg C","Deg C","Deg C","microS/cm","microS/cm","microS/cm","microS/cm","unitless","unitless","unitless","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-02-17 14:00:00",0,"Site 1",30.55085,-96.41281,75,12.73,31.05,25.3,39.4,37.8,13.65,11.45,10.5,13.45,34,30,435.5,464,17.35,13.6,24.3,22.85
"2023-02-17 15:00:00",1,"Site 1",30.55085,-96.41281,75,12.77,30.93,25.3,39.27,37.87,14.1,12.1,10.97,13.4,34,30.33,441,463,17.27,13.6,24.23,22.87
"2023-02-17 16:00:00",2,"Site 1",30.55085,-96.41281,75,12.9,30.9,25.2,39.3,37.83,14.07,12.6,11.4,13.27,34,31,446.3,462.7,17.23,13.5,24.27,22.83
"2023-02-17 17:00:00",3,"Site 1",30.55085,-96.41281,75,12.94,30.93,25.1,39.43,37.93,13.6,12.7,11.8,13.23,34,31,450.3,462,17.27,13.47,24.4,22.97
"2023-02-17 18:00:00",4,"Site 1",30.55085,-96.41281,75,12.85,30.87,25,39.2,37.93,12.77,12.5,12.03,13.2,33,30,452.7,460,17.23,13.4,24.17,22.93
"2023-02-17 19:00:00",5,"Site 1",30.55085,-96.41281,75,12.49,30.97,25,39.33,37.9,11.9,12.17,12.1,13.17,32,30,454.3,461,17.3,13.4,24.27,22.9
"2023-02-17 20:00:00",6,"Site 1",30.55085,-96.41281,75,12.34,30.93,25,39.27,37.93,10.87,11.6,12.13,13.1,31.33,29.33,453.7,460.7,17.3,13.4,24.2,22.93
"2023-02-17 21:00:00",7,"Site 1",30.55085,-96.41281,75,12.26,30.93,25,39.23,37.87,10.2,11.07,11.97,13.1,30.33,29,452,461,17.27,13.4,24.2,22.87
"2023-02-17 22:00:00",8,"Site 1",30.55085,-96.41281,75,12.22,30.93,24.97,39.2,37.93,9.63,10.63,11.67,13.1,30,28.33,449.3,461,17.3,13.4,24.17,22.93
"2023-02-17 23:00:00",9,"Site 1",30.55085,-96.41281,75,12.19,30.97,24.93,39.23,37.87,9.13,10.13,11.5,13.1,29,28,446.3,459.7,17.3,13.37,24.17,22.87
"2023-02-18 00:00:00",10,"Site 1",30.55085,-96.41281,75,12.16,30.9,25,39.17,37.87,8.6,9.73,11.17,13.03,29,27.67,443,460.7,17.27,13.4,24.13,22.87
"2023-02-18 01:00:00",11,"Site 1",30.55085,-96.41281,75,12.14,30.93,24.97,39.2,38.1,8.2,9.37,10.97,13.07,28,27,440,461,17.27,13.4,24.13,23.1
"2023-02-18 02:00:00",12,"Site 1",30.55085,-96.41281,75,12.12,30.93,24.97,39.23,37.87,7.733,9,10.7,13,28,27,437,460.3,17.27,13.37,24.23,22.87
"2023-02-18 03:00:00",13,"Site 1",30.55085,-96.41281,75,12.09,30.9,25,39.17,37.9,7.433,8.6,10.47,13,27.67,26.67,434,460,17.2,13.4,24.13,22.9
"2023-02-18 04:00:00",14,"Site 1",30.55085,-96.41281,75,12.07,30.9,24.93,39.17,37.87,7.167,8.3,10.17,13,27,26,430.7,460,17.27,13.37,24.1,22.87
"2023-02-18 05:00:00",15,"Site 1",30.55085,-96.41281,75,12.04,30.83,24.9,39.23,37.87,6.833,8.07,9.93,12.97,27,26,428,459,17.2,13.4,24.13,22.87
