"TOA5","CR300-23667","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_3.CR300","28349","Table_Thetaprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Thetaprobe_VWC_5_Avg","Thetaprobe_VWC_20_Avg","Thetaprobe_VWC_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 / m^3","m^3 / m^3","m^3 / m^3"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2022-10-06 09:00:00",0,"Site 1",39.10236,-96.60097,335,0.158,0.264,0.326
"2022-10-06 10:00:00",1,"Site 1",39.10236,-96.60097,335,0.159,0.264,0.326
"2022-10-06 11:00:00",2,"Site 1",39.10236,-96.60097,335,0.16,0.264,0.326
"2022-10-06 12:00:00",3,"Site 1",39.10236,-96.60097,335,0.162,0.264,0.326
"2022-10-06 13:00:00",4,"Site 1",39.10236,-96.60097,335,0.163,0.264,0.325
"2022-10-06 14:00:00",5,"Site 1",39.10236,-96.60097,335,0.165,0.264,0.325
"2022-10-06 15:00:00",6,"Site 1",39.10236,-96.60097,335,0.165,0.264,0.325
"2022-10-06 16:00:00",7,"Site 1",39.10236,-96.60097,335,0.165,0.264,0.325
"2022-10-06 17:00:00",8,"Site 1",39.10236,-96.60097,335,0.164,0.265,0.325
"2022-10-06 18:00:00",9,"Site 1",39.10236,-96.60097,335,0.163,0.265,0.325
"2022-10-06 19:00:00",10,"Site 1",39.10236,-96.60097,335,0.161,0.265,0.325
"2022-10-06 20:00:00",11,"Site 1",39.10236,-96.60097,335,0.16,0.266,0.325
"2022-10-06 21:00:00",12,"Site 1",39.10236,-96.60097,335,0.159,0.266,0.325
"2022-10-06 22:00:00",13,"Site 1",39.10236,-96.60097,335,0.159,0.266,0.325
"2022-10-06 23:00:00",14,"Site 1",39.10236,-96.60097,335,0.158,0.266,0.325
"2022-10-07 00:00:00",15,"Site 1",39.10236,-96.60097,335,0.157,0.266,0.325
"2022-10-07 01:00:00",16,"Site 1",39.10236,-96.60097,335,0.157,0.265,0.325
"2022-10-07 02:00:00",17,"Site 1",39.10236,-96.60097,335,0.156,0.265,0.325
"2022-10-07 03:00:00",18,"Site 1",39.10236,-96.60097,335,0.156,0.265,0.326
"2022-10-07 04:00:00",19,"Site 1",39.10236,-96.60097,335,0.155,0.265,0.326
